EmployeeID,Department,Salary,Rating,JoiningDate
265,IT,140245,1,2022-08-09
266,Finance,93201,4,2022-02-11
267,IT,148398,5,2023-08-06
268,Sales,38021,3,2024-03-18
269,Sales,27088,5,2022-12-28
270,Sales,73963,5,2023-07-06
271,Sales,82399,1,2024-07-11
272,IT,110129,3,2024-03-12
273,HR,78931,4,2024-03-12
274,Finance,42841,4,2024-05-05
275,Sales,21201,4,2024-07-13
276,Sales,39671,4,2024-11-23
277,IT,102546,5,2023-01-15
278,Operations,57315,4,2021-07-26
279,IT,116825,3,2024-01-21
280,IT,84740,3,2024-07-21
281,HR,86292,3,2023-06-11
282,Operations,25214,2,2023-12-06
283,Sales,85176,5,2023-04-01
284,Sales,117698,2,2023-02-17
285,Finance,65759,1,2024-11-30
286,Finance,69802,1,2021-05-12
287,Sales,84852,1,2021-10-16
288,Operations,34109,4,2022-06-20
289,IT,71946,4,2024-03-10
290,IT,93461,1,2022-05-20
291,HR,119754,3,2023-06-12
292,Sales,124996,5,2023-04-14
293,Finance,142114,5,2021-01-12
294,IT,71220,5,2022-03-16
295,Sales,93704,4,2023-06-12
296,IT,106931,1,2023-12-07
297,Operations,67140,4,2022-08-16
298,HR,94232,2,2023-02-10
299,Operations,91763,3,2022-07-18
300,Sales,38110,3,2023-07-07
301,Operations,22457,1,2022-01-13
302,HR,111510,4,2021-08-09
303,Operations,124020,2,2022-09-19
304,HR,65566,3,2023-03-01
305,HR,108465,2,2021-03-11
306,HR,120358,2,2024-04-26
307,Finance,66995,1,2021-03-28
308,HR,92418,4,2024-02-22
309,HR,38431,5,2021-02-05
310,IT,36114,2,2023-11-14
311,Sales,95743,4,2024-12-12
312,Sales,37618,5,2023-12-10
313,Finance,147253,5,2023-04-21
314,IT,125059,2,2023-10-05
315,Sales,95921,3,2025-01-22
316,HR,82345,2,2021-07-03
317,Operations,33003,5,2022-04-12
318,Finance,41059,4,2024-12-28
319,IT,89086,4,2024-08-20
320,IT,36794,1,2024-12-26
321,Sales,64653,5,2024-07-17
322,HR,130094,3,2022-06-21
323,HR,50326,4,2024-04-27
324,IT,130105,2,2021-08-19
325,Operations,51222,1,2021-02-03
326,Finance,115256,1,2024-06-20
327,Sales,71227,4,2023-02-19
328,IT,102517,4,2022-08-12
329,Sales,73961,5,2021-07-06
330,Sales,61247,4,2023-12-20
331,IT,101107,3,2023-02-18
332,HR,43511,4,2024-04-07
333,IT,77616,5,2021-11-01
334,Sales,78421,2,2021-08-05
335,HR,48346,1,2022-08-17
336,Sales,96236,2,2023-10-05
337,HR,49657,3,2022-01-14
338,IT,55129,4,2021-08-14
339,Sales,117334,1,2023-10-21
340,Operations,56422,4,2023-03-09
341,Operations,128151,4,2024-09-01
342,Finance,73871,5,2022-03-28
343,Finance,100743,5,2024-02-17
344,IT,38131,2,2024-10-18
345,Sales,36454,2,2024-03-27
346,Sales,82147,2,2022-07-29
347,IT,69239,2,2021-04-06
348,Finance,113417,2,2021-12-04
349,HR,46956,5,2021-03-08
350,Sales,29241,2,2023-07-24
351,Operations,141742,1,2025-01-27
352,Operations,114783,2,2022-08-04
353,Finance,116034,4,2022-10-18
354,Operations,44405,4,2022-02-12
355,IT,50935,1,2021-03-25
356,Finance,23694,5,2024-02-26
357,IT,109805,1,2022-04-26
358,IT,132998,1,2021-05-17
359,Sales,114246,4,2021-03-18
360,IT,32829,5,2022-01-23
361,Operations,111355,5,2022-12-19
362,Finance,146527,3,2022-09-24
363,Sales,78803,4,2024-07-24
364,Finance,79040,4,2021-07-11
365,HR,49323,5,2021-05-30
366,HR,50950,5,2024-03-11
367,Finance,33941,4,2024-03-13
368,HR,54569,2,2023-04-25
369,Operations,64714,5,2023-01-14
370,Operations,56819,5,2022-12-26
371,Sales,88589,3,2024-11-20
372,Sales,20859,4,2023-05-30
373,Finance,124006,2,2021-03-20
374,Operations,94599,3,2022-02-10
375,Sales,42134,1,2022-05-26
376,Finance,72191,2,2024-06-12
377,Operations,39694,3,2022-11-29
378,Operations,46664,5,2021-09-03
379,Sales,99359,3,2023-11-21
380,Finance,145770,4,2022-02-04
381,Operations,141607,2,2021-02-14
382,Sales,82933,3,2023-11-17
383,Finance,61224,4,2023-12-01
384,Operations,82625,1,2024-01-31
385,HR,26157,3,2025-02-08
386,Sales,66450,2,2021-05-23
387,Operations,89254,2,2023-05-22
388,Sales,108126,1,2021-05-16
389,HR,60939,4,2024-04-08
390,Finance,49130,3,2021-11-21
391,HR,127858,3,2023-09-26
392,HR,51938,5,2023-04-16
393,Finance,86200,4,2021-11-01
394,Finance,113487,2,2024-11-07
395,Operations,147647,2,2021-02-04
396,Sales,88565,3,2024-02-16
397,IT,48965,3,2024-01-19
398,Finance,48730,4,2022-05-21
399,HR,48664,2,2022-10-23
400,Operations,136012,3,2022-04-06
401,Operations,31850,1,2024-12-07
402,Sales,124538,2,2021-02-13
403,Operations,82680,2,2022-12-25
404,Finance,142612,3,2023-02-27
405,Finance,69748,1,2021-07-29
406,Operations,96075,3,2021-09-26
407,Operations,47043,1,2022-07-28
408,HR,104689,4,2022-07-09
409,Sales,90920,1,2022-12-29
410,HR,132420,4,2021-04-28
411,Operations,38868,1,2022-12-08
412,Operations,40907,1,2023-12-03
413,Finance,65111,2,2022-06-19
414,IT,90343,4,2023-01-31
415,Sales,76419,4,2024-02-22
416,HR,112436,3,2024-05-07
417,IT,101921,1,2021-08-27
418,HR,75301,3,2024-06-01
419,IT,110748,5,2024-10-21
420,Sales,125536,1,2023-07-01
421,Sales,72857,3,2023-07-27
422,Operations,109311,3,2023-02-25
423,Sales,129675,1,2021-10-01
424,Sales,27147,4,2024-01-07
425,IT,54451,4,2022-03-30
426,Finance,142242,2,2024-11-10
427,IT,45175,3,2023-07-08
428,IT,24092,2,2023-05-19
429,Operations,46052,3,2021-02-02
430,IT,83125,4,2023-06-26
431,Operations,97527,5,2023-10-07
432,IT,105835,1,2021-05-04
433,Sales,74157,1,2024-04-08
434,Operations,45977,3,2024-12-21
435,IT,41552,2,2023-07-28
436,HR,84069,3,2023-09-07
437,Operations,57899,1,2023-01-10
438,IT,92881,5,2023-10-17
439,Finance,117504,2,2023-07-09
440,Finance,29642,3,2022-11-05
441,IT,117537,5,2021-05-02
442,Sales,105954,4,2021-04-20
443,IT,56625,5,2022-06-05
444,Finance,137180,3,2021-07-24
445,Operations,143706,3,2024-04-01
446,Finance,123244,4,2022-11-25
447,Finance,66869,4,2022-04-27
448,HR,64040,2,2021-01-16
449,Finance,90506,4,2022-02-22
450,IT,36843,1,2021-07-02
451,IT,147282,1,2021-05-12
452,Sales,30261,4,2023-10-22
453,IT,89610,3,2022-09-10
454,HR,87147,1,2023-11-07
455,HR,33234,5,2022-04-16
456,IT,134011,2,2024-07-26
457,Operations,43947,2,2021-07-25
458,Operations,123773,5,2024-10-05
459,IT,93276,1,2022-03-29
460,IT,147907,4,2024-03-23
461,Finance,145314,3,2024-08-16
462,Operations,145965,2,2023-09-01
463,IT,102829,5,2022-10-23
464,Operations,85632,1,2022-04-29
465,IT,65741,4,2023-11-07
466,HR,51225,5,2024-06-27
467,Finance,101019,5,2022-05-15
468,IT,76397,4,2021-03-24
469,Operations,126423,3,2021-05-11
470,Sales,66990,1,2021-08-08
471,Operations,106235,1,2023-10-30
472,Sales,95474,4,2023-04-10
473,HR,83565,5,2022-02-25
474,Sales,79423,5,2022-06-20
475,Operations,83188,4,2023-03-03
476,Operations,110758,1,2023-12-13
477,Finance,138003,1,2022-07-08
478,Sales,92888,3,2024-11-17
479,Sales,101849,5,2021-12-31
480,HR,97032,1,2024-04-26
481,Sales,120866,4,2023-02-01
482,Finance,132331,2,2022-01-24
483,Finance,57392,3,2023-03-29
484,Sales,26690,4,2024-07-29
485,HR,98637,4,2021-04-12
486,Operations,29018,4,2022-09-04
487,Sales,113530,1,2022-03-10
488,IT,114683,4,2024-11-20
489,IT,83287,4,2021-09-02
490,Finance,148949,5,2023-02-01
491,Operations,121084,3,2021-09-16
492,IT,139534,2,2024-06-03
493,Finance,146369,1,2022-02-12
494,HR,49150,1,2021-03-14
495,IT,81266,1,2022-11-07
496,IT,130545,2,2021-02-01
497,Operations,49763,2,2024-10-07
498,Finance,112761,5,2023-09-08
499,HR,128083,3,2023-08-20
500,HR,124794,4,2023-08-24
501,HR,84637,1,2023-02-22
502,HR,83910,4,2024-01-06
503,Finance,79248,5,2021-02-25
504,IT,99723,1,2022-09-28
505,Operations,21653,2,2022-10-16
506,Sales,60898,4,2022-07-23
507,Sales,88932,4,2022-10-31
508,Sales,122914,3,2023-09-02
509,IT,119121,5,2024-06-30
510,HR,62305,4,2021-12-29
511,Operations,112322,2,2022-12-16
512,IT,46020,5,2024-08-14
513,HR,103326,1,2023-10-10
514,Operations,58792,4,2021-07-08
515,Finance,103645,2,2021-03-25
516,Sales,133450,2,2022-09-11
517,Operations,103845,1,2021-05-11
518,IT,104284,5,2021-07-24
519,Operations,30565,2,2024-04-06
520,HR,82946,2,2024-05-05
521,Operations,109457,4,2023-03-29
522,IT,36488,3,2023-12-31
523,Finance,77407,5,2023-01-24
524,HR,136235,2,2023-08-20
525,HR,76963,3,2022-08-09
526,HR,138539,2,2022-09-17
527,IT,28597,1,2023-05-19
528,Operations,126781,3,2023-04-29
529,Sales,144964,2,2021-03-17
530,IT,122290,2,2021-06-13
531,Finance,65328,1,2024-02-13
532,HR,27863,5,2023-08-06
533,Operations,141317,1,2022-10-28
534,Sales,119392,1,2022-05-28
535,Sales,44171,1,2021-09-30
536,HR,136129,3,2023-10-22
537,Sales,78910,5,2022-04-23
538,Finance,29173,4,2022-07-02
539,Sales,39277,1,2023-07-01
540,Sales,21649,3,2021-07-06
541,IT,60426,4,2022-09-22
542,IT,34141,4,2024-08-23
543,Operations,71584,1,2022-07-12
544,Sales,77577,3,2023-01-28
545,Finance,70465,3,2021-12-05
546,HR,25948,2,2024-12-18
547,HR,25299,5,2024-05-23
548,IT,49757,5,2021-01-14
549,Sales,81881,2,2023-04-23
550,IT,58100,4,2022-04-12
551,Finance,28662,5,2024-12-16
552,Sales,145592,3,2024-10-04
553,Finance,55131,5,2021-04-28
554,Operations,20825,1,2022-07-03
555,Finance,101675,5,2023-03-29
556,Operations,83582,1,2023-11-26
557,Finance,65740,4,2023-03-10
558,Finance,94396,1,2024-05-03
559,Finance,60450,2,2024-10-10
560,Sales,70341,4,2021-07-05
561,HR,132300,5,2022-02-25
562,Sales,136478,1,2024-05-11
563,HR,142383,2,2021-08-05
564,HR,71789,4,2022-03-23
565,Operations,137230,3,2024-04-12
566,Operations,132274,1,2023-08-26
567,Operations,126553,5,2023-09-24
568,HR,79637,4,2021-12-09
569,Finance,115939,4,2024-09-23
570,Sales,83822,4,2021-08-08
571,HR,33813,1,2022-01-10
572,Finance,61913,4,2021-05-17
573,Operations,127782,1,2023-11-06
574,Finance,143523,1,2024-08-25
575,Sales,20941,4,2023-06-11
576,Finance,115373,2,2023-10-16
577,IT,65599,3,2024-05-16
578,Operations,56298,3,2024-11-06
579,HR,100825,2,2024-02-27
580,Operations,72585,4,2023-04-23
581,Finance,23075,4,2023-11-29
582,Finance,94657,4,2022-08-29
583,Sales,80324,5,2022-10-09
584,IT,94022,5,2024-01-30
585,IT,139812,3,2023-04-17
586,Finance,58256,3,2024-09-05
587,Operations,37903,4,2024-01-26
588,Operations,144748,4,2021-03-28
589,IT,46479,3,2022-09-05
590,Operations,26369,1,2024-05-30
591,HR,56334,4,2023-03-20
592,Operations,90409,1,2022-05-26
593,HR,135492,5,2024-01-05
594,Sales,51761,3,2022-09-30
595,Finance,45329,1,2022-04-12
596,Sales,113075,5,2022-02-26
597,HR,100589,2,2021-10-21
598,HR,67449,3,2021-02-28
599,Operations,61996,3,2022-05-13
600,Operations,47432,2,2022-06-13
601,IT,101233,3,2022-07-22
602,Sales,92147,3,2024-12-11
603,HR,55443,3,2023-03-16
604,HR,98255,3,2022-02-24
605,HR,63734,4,2024-08-30
606,HR,79033,5,2025-01-24
607,IT,82898,2,2023-12-24
608,Operations,66982,3,2023-05-26
609,Sales,95527,1,2021-01-21
610,IT,141271,1,2021-06-13
611,Operations,140488,4,2022-11-19
612,Finance,128313,3,2024-09-15
613,Finance,129520,4,2022-08-05
614,Operations,147104,4,2023-11-15
615,HR,33574,2,2023-08-08
616,HR,37574,1,2022-05-16
617,Finance,142994,4,2021-02-24
618,HR,142944,1,2025-02-02
619,Finance,76568,1,2022-08-18
620,Sales,148047,2,2022-08-25
621,Sales,131854,4,2023-07-30
622,Finance,136699,3,2024-01-19
623,IT,91081,5,2021-03-16
624,Finance,141826,1,2024-04-03
625,Finance,34183,3,2024-02-27
626,Operations,75050,4,2023-06-20
627,Finance,148032,1,2024-10-27
628,Finance,117336,3,2023-08-17
629,HR,57202,2,2024-11-18
630,Sales,29223,3,2023-02-25
631,IT,144628,2,2024-06-08
632,Operations,147860,3,2023-07-17
633,IT,67169,2,2022-11-09
634,Sales,129491,4,2023-01-26
635,Sales,122237,3,2023-02-23
636,IT,56078,2,2022-07-16
637,IT,57882,2,2021-04-14
638,IT,112253,2,2021-08-17
639,Finance,74194,2,2023-06-28
640,Finance,65286,2,2022-04-21
641,HR,121209,1,2021-08-07
642,Sales,117445,4,2023-01-02
643,Sales,119345,4,2024-02-27
644,HR,93273,5,2021-07-21
645,Finance,132734,4,2022-12-04
646,Finance,72100,5,2023-09-22
647,IT,57498,5,2024-02-26
648,Finance,70380,2,2024-05-10
649,Operations,129337,5,2024-02-01
650,Operations,139545,4,2021-06-03
651,Finance,70913,1,2023-01-22
652,IT,120739,4,2021-07-23
653,Operations,100407,4,2025-01-15
654,Operations,68163,4,2022-01-14
655,HR,86628,4,2022-01-07
656,HR,115298,4,2021-08-20
657,Sales,42697,3,2022-01-29
658,IT,104547,2,2025-02-09
659,HR,53858,4,2022-02-02
660,IT,55408,1,2021-11-05
661,HR,99576,3,2022-11-06
662,Finance,106361,1,2022-01-24
663,HR,43552,2,2022-01-19
664,IT,25757,5,2023-10-24
665,IT,109155,2,2025-01-17
666,IT,138190,4,2022-08-18
667,Operations,26529,1,2024-05-01
668,Finance,77831,5,2021-05-24
669,Operations,51229,4,2022-06-24
670,Finance,148475,2,2021-05-31
671,Operations,149652,3,2023-11-24
672,IT,107926,5,2022-04-07
673,HR,81421,1,2022-07-10
674,Operations,60023,3,2023-11-23
675,Finance,104832,4,2021-09-27
676,HR,101751,5,2024-04-10
677,Operations,106199,3,2022-08-25
678,Sales,37631,3,2024-11-16
679,IT,42947,1,2022-10-08
680,Operations,85313,4,2023-02-23
681,Finance,62560,3,2024-03-08
682,Sales,49273,3,2024-08-11
683,Sales,64885,3,2021-06-01
684,HR,111655,4,2025-01-01
685,Operations,59909,4,2022-12-28
686,HR,45093,3,2021-06-19
687,Finance,69968,1,2023-05-23
688,Operations,131705,3,2022-07-20
689,IT,20866,4,2024-09-12
690,Sales,81851,1,2023-05-28
691,Sales,92386,2,2024-07-18
692,IT,103341,4,2024-07-14
693,HR,30211,5,2022-07-15
694,Operations,139560,4,2023-07-21
695,Sales,111773,3,2023-11-28
696,HR,100362,2,2024-02-01
697,Sales,144157,5,2023-04-20
698,Sales,139875,5,2024-02-25
699,Finance,64548,4,2022-09-09
700,IT,43194,4,2024-08-07
701,IT,145723,1,2023-11-03
702,Sales,31940,2,2021-06-17
703,Sales,31046,5,2024-02-19
704,Operations,75505,3,2021-06-14
705,Operations,51103,1,2024-05-19
706,Finance,25555,1,2023-05-20
707,Operations,27745,2,2023-12-03
708,IT,61366,4,2023-01-28
709,Finance,80610,1,2021-04-07
710,Sales,38366,3,2022-02-05
711,IT,55875,1,2022-01-08
712,IT,62419,5,2021-01-22
713,Finance,143112,4,2024-11-19
714,Sales,143038,5,2025-01-22
715,Finance,75067,4,2022-05-08
716,IT,115361,1,2024-07-13
717,Finance,44187,4,2021-06-28
718,Sales,87678,3,2025-02-09
719,HR,53451,2,2024-07-12
720,IT,105158,4,2021-08-23
721,IT,57629,2,2023-09-03
722,IT,82883,2,2021-09-07
723,Finance,101087,1,2024-10-24
724,Sales,34696,3,2022-01-08
725,IT,52651,1,2021-11-01
726,Sales,128338,2,2021-05-30
727,Sales,147137,3,2023-01-03
728,HR,65131,4,2024-01-31
729,HR,23587,3,2022-05-08
730,Sales,138024,5,2023-02-22
731,Sales,126893,2,2023-03-04
732,IT,135401,1,2023-03-30
733,Sales,69881,1,2022-01-10
734,Sales,129813,5,2021-09-13
735,Finance,58697,2,2023-09-30
736,HR,62038,2,2024-02-11
737,IT,41802,2,2024-11-09
738,Finance,107445,5,2023-06-30
739,Sales,149564,3,2023-04-27
740,IT,92187,4,2024-11-30
741,IT,35676,4,2023-07-27
742,Sales,139619,3,2021-01-03
743,HR,51190,2,2021-01-19
744,IT,62652,5,2021-08-30
745,Sales,51383,1,2023-07-05
746,IT,75088,1,2023-04-02
747,Sales,146304,1,2024-10-31
748,HR,48373,5,2022-01-27
749,Operations,129166,3,2023-07-31
750,Sales,104814,5,2023-11-17
751,HR,105575,3,2023-07-20
752,HR,93232,4,2023-04-14
753,HR,44142,2,2021-12-11
754,Finance,101013,4,2024-05-15
755,Operations,125351,1,2021-11-11
756,HR,125726,1,2021-09-29
757,Sales,69139,3,2024-05-16
758,Operations,113122,2,2024-06-22
759,Sales,142702,3,2021-02-06
760,HR,74951,4,2023-10-12
761,Finance,149047,5,2023-05-08
762,HR,122893,3,2022-07-01
763,Sales,36475,5,2024-02-19
764,Operations,56268,5,2021-08-07
765,IT,40765,3,2023-05-28
766,HR,53119,4,2022-11-04
767,HR,123887,3,2023-10-14
768,Finance,88316,4,2024-09-21
769,IT,134154,5,2022-04-17
770,Operations,89426,2,2022-06-08
771,HR,64353,4,2022-03-04
772,IT,64258,4,2022-06-15
773,Operations,71446,4,2024-03-14
774,IT,108145,4,2023-01-19
775,HR,70384,5,2023-04-18
776,Operations,70245,2,2021-11-19
777,Operations,58367,2,2021-03-27
778,IT,79091,3,2024-02-18
779,Sales,99231,5,2023-05-23
780,HR,102932,5,2023-04-06
781,Sales,112384,3,2022-07-10
782,Operations,83467,5,2024-12-28
783,HR,71481,5,2023-06-27
784,HR,40825,5,2024-11-16
785,Sales,120781,1,2021-05-13
786,IT,23655,2,2022-03-21
787,Operations,115082,1,2021-09-18
788,Sales,113037,3,2022-10-13
789,IT,29458,2,2024-04-25
790,Operations,126272,5,2022-01-14
791,Finance,114521,1,2021-09-13
792,Operations,142453,2,2023-12-26
793,IT,93872,1,2024-10-08
